"gene_id","WT.1_count","WT.2_count","WT.3_count","KO.1_count","KO.2_count","KO.3_count","WT.12h.1_count","WT.12h.2_count","WT.12h.3_count","WT.24h.1_count","WT.24h.2_count","WT.24h.3_count","KO.12h.1_count","KO.12h.2_count","KO.12h.3_count","KO.24h.1_count","KO.24h.2_count","KO.24h.3_count"
"C2R79_RS00015",5,5,10,6,4,2,3,0,3,1,1,0,1,1,1,2,0,1
"C2R79_RS00020",12,11,19,12,25,23,90,34,39,26,21,24,22,21,27,12,24,24
"C2R79_RS00025",7,10,16,7,10,8,258,141,197,115,70,94,77,87,99,122,121,74
"C2R79_RS00030",32,27,54,110,143,97,1610,954,1325,841,873,903,854,694,819,414,350,375
"C2R79_RS00035",72,75,146,99,106,88,1606,990,1257,967,894,1139,764,592,846,699,554,591
"C2R79_RS00040",257,257,437,262,402,264,647,389,347,646,594,620,402,353,432,690,461,643
"C2R79_RS00045",359,353,646,479,615,456,1023,596,655,626,511,599,480,438,551,704,547,545
"C2R79_RS00050",186,158,341,283,419,275,4265,2681,3288,1316,1391,1431,1786,1645,1997,1735,1463,1555
"C2R79_RS00055",16,29,39,38,53,24,7,6,6,2,11,1,8,8,6,7,6,3
"C2R79_RS00060",170,158,332,423,599,473,119,85,98,93,63,73,78,131,124,147,75,102
"C2R79_RS00065",96,103,164,32,47,30,187,99,103,78,65,89,67,57,68,59,67,67
"C2R79_RS00070",24322,23211,41754,23388,33050,23702,8120,5247,6062,8412,8475,9017,4136,3958,4505,9024,6013,7199
"C2R79_RS00075",305,300,532,524,796,456,94,52,42,93,58,72,36,27,49,56,29,40
"C2R79_RS00080",146,187,284,443,616,427,415,259,328,181,194,201,193,145,204,161,110,142
"C2R79_RS00085",1330,1310,2358,834,1145,798,2788,1823,2099,2105,2168,2402,1428,1346,1522,2427,1941,1940
"C2R79_RS00090",1794,1556,2928,1867,2519,1610,8743,5791,6677,7485,7995,8644,3491,3393,3992,4949,3664,3889
"C2R79_RS00100",559,498,931,362,485,290,621,439,549,530,434,497,351,303,319,385,323,336
"C2R79_RS00105",1935,1787,3312,1603,2428,1566,3576,2348,2780,3168,3188,3788,1617,1605,1828,3414,2736,2725
"C2R79_RS00110",978,880,1614,1093,1453,1011,9573,5780,6767,3791,3703,4374,4272,3950,4613,4052,3078,3680
"C2R79_RS00115",10375,9759,17955,13635,19170,12956,6745,4363,5145,5966,5546,6599,3712,3437,3894,7174,5068,5770
"C2R79_RS00125",215,174,377,279,343,215,2150,1259,1572,954,931,1086,446,374,468,498,402,491
"C2R79_RS00130",2467,2369,4146,2411,3348,2164,3768,2235,2628,3349,3178,3583,1518,1562,1938,3313,2476,2806
"C2R79_RS00135",710,663,1254,941,1344,941,3225,1829,2245,1144,1120,1353,1392,1248,1685,1595,1097,1221
"C2R79_RS00140",643,578,1109,968,1376,879,3727,2476,2875,1603,1696,1770,1515,1631,1989,2142,1852,1815
"C2R79_RS00145",1060,931,1770,1266,1678,1276,2449,1705,2021,1166,1229,1398,1177,1061,1314,1510,1214,1227
"C2R79_RS00150",1681,1593,2905,1517,2075,1469,7713,5255,6254,3723,3744,4245,3285,3021,3631,3340,2743,3074
"C2R79_RS00155",194,198,388,263,383,246,1412,898,1178,742,743,845,683,660,760,367,280,351
"C2R79_RS00160",2949,2815,4908,2064,2986,1926,2795,2047,1947,2122,1971,2280,1330,1370,1484,2160,1522,1526
"C2R79_RS00170",52,34,57,68,74,84,320,234,207,183,203,187,148,156,185,170,94,108
"C2R79_RS00175",6,8,15,11,16,16,41,29,36,16,14,20,38,23,34,17,13,11
"C2R79_RS00185",40,43,79,74,96,50,604,396,435,236,220,247,265,219,305,244,173,152
"C2R79_RS00190",68,75,171,148,178,134,687,433,519,584,543,581,380,314,419,486,364,447
"C2R79_RS00195",396,339,603,503,836,519,2780,1913,2081,2358,2425,2777,1334,1235,1514,2284,1865,1976
"C2R79_RS00200",147,120,241,709,964,629,545,332,411,471,499,533,528,467,551,686,574,573
"C2R79_RS00205",21,11,31,61,51,44,3,7,0,3,5,6,5,2,1,0,2,0
"C2R79_RS00210",141,129,227,234,347,199,3988,2319,2870,1970,1751,2284,1956,1690,2291,2019,1396,1656
"C2R79_RS00215",50,60,109,73,90,50,160,121,129,64,62,69,73,73,91,93,82,61
"C2R79_RS00220",239,207,390,261,331,248,981,742,767,355,382,392,499,532,495,498,470,408
"C2R79_RS00225",32,27,60,40,57,33,310,222,279,133,123,115,115,144,133,114,92,119
"C2R79_RS00230",33,22,70,42,73,33,40,43,41,16,11,20,30,16,20,21,23,9
"C2R79_RS00240",33,20,55,20,17,14,361,227,251,270,269,271,171,135,151,214,208,160
"C2R79_RS00245",1590,1444,2695,1484,2071,1334,717,533,532,493,445,607,355,300,333,524,424,385
"C2R79_RS00250",535,497,1000,791,1111,776,4388,2738,2974,2856,3074,3375,1746,1832,2057,3183,2600,2610
"C2R79_RS00255",1209,1189,2118,376,616,364,3167,2032,2049,1745,1980,2213,977,1159,1281,1238,995,1018
"C2R79_RS00260",630,550,1021,183,265,163,2547,1291,1740,1519,1483,1761,660,602,823,721,529,629
"C2R79_RS00265",113,126,211,31,54,35,233,122,162,111,112,106,63,77,81,63,51,75
"C2R79_RS00270",240,218,439,375,456,294,2371,1548,1855,1358,1381,1499,1187,1112,1292,1407,1172,1253
"C2R79_RS00275",31,27,39,34,47,23,143,75,108,43,48,40,77,60,78,72,53,68
"C2R79_RS00280",19,40,71,34,53,51,1,2,3,0,0,1,0,0,1,0,0,1
"C2R79_RS00285",219,227,361,244,341,258,1380,901,1080,595,580,605,704,584,684,561,505,514
"C2R79_RS00290",129,126,231,160,238,157,865,433,622,170,176,188,350,285,393,186,132,180
"C2R79_RS00295",471,433,794,815,1066,762,1566,946,1159,809,745,885,657,562,759,892,648,789
"C2R79_RS00300",6,4,11,5,8,6,27,11,20,8,7,5,10,6,10,9,5,8
"C2R79_RS00305",2885,2815,5112,2408,3428,2417,7188,4668,5390,4547,5077,5150,2925,2568,3525,4444,3168,3036
"C2R79_RS00310",11789,11091,19982,11796,16113,11061,22182,13962,16085,12545,12086,13300,8913,7739,10737,11375,7928,8397
"C2R79_RS00315",346,358,623,463,679,471,1868,1152,1312,979,907,990,558,477,758,446,314,380
"C2R79_RS00320",50,69,100,120,189,131,71,46,51,64,38,37,39,26,47,37,26,13
"C2R79_RS00325",1173,1139,2112,1554,2321,1417,8015,5244,6134,5316,5321,6077,3375,3263,3806,4125,3230,3391
"C2R79_RS00330",2517,2525,4414,5454,7660,5397,2814,1821,1882,2810,2539,2989,1913,1800,2151,3409,2394,2889
"C2R79_RS00335",5777,5393,9683,10649,14716,9530,7023,4846,5441,7604,7477,8694,4721,4627,5171,12373,9130,9655
"C2R79_RS00340",52,52,71,94,143,99,278,219,241,249,227,252,120,113,135,100,88,90
"C2R79_RS00345",350,361,631,349,484,297,892,655,726,854,849,805,419,359,449,540,399,449
"C2R79_RS00350",101,82,172,152,224,122,270,163,171,137,111,141,112,103,134,152,103,153
"C2R79_RS00355",273,301,513,455,620,420,1074,783,741,729,696,778,475,372,454,673,556,561
"C2R79_RS00360",269,277,446,173,284,206,3,1,3,6,3,4,0,4,1,7,8,2
"C2R79_RS00370",3164,3071,5243,3413,4693,3171,4672,2895,3631,2889,3225,3424,2312,2045,2359,4000,2617,3176
"C2R79_RS00375",207,218,372,310,459,236,511,317,382,307,245,216,225,204,266,174,136,246
"C2R79_RS00380",712,719,1203,1044,1601,960,5389,3153,3676,1709,1816,2036,2406,2234,2874,2612,1698,2194
"C2R79_RS00385",242,235,377,357,479,350,3576,1938,2369,867,926,1061,1376,1326,1687,1249,843,1069
"C2R79_RS00390",55,62,110,141,152,101,1948,937,1267,336,314,346,683,636,894,513,269,429
"C2R79_RS00395",8,5,5,4,16,6,184,80,111,16,9,13,75,75,91,31,13,19
"C2R79_RS00400",469,461,833,392,540,366,433,296,324,608,495,623,183,198,267,505,354,386
"C2R79_RS00405",970,846,1601,570,843,553,394,243,292,647,650,673,200,173,223,496,345,425
"C2R79_RS00410",1604,1553,2648,1461,1937,1335,3038,2220,2412,4162,3984,4662,1860,1812,1966,4579,3983,3681
"C2R79_RS00415",23,24,60,16,29,11,140,77,115,110,142,159,39,61,48,71,35,59
"C2R79_RS00425",499,465,840,234,334,225,898,609,651,838,894,998,395,340,414,747,639,599
"C2R79_RS00430",24,22,48,41,55,39,50,30,42,40,29,30,31,24,22,49,27,29
"C2R79_RS00435",3,6,15,8,23,14,56,31,46,35,29,30,27,29,40,25,18,19
"C2R79_RS00440",195,191,332,111,144,94,2988,2251,2319,1878,1967,2308,1511,1348,1611,1684,1346,1303
"C2R79_RS00445",109,124,224,53,79,52,335,215,293,236,207,229,126,136,182,137,99,137
"C2R79_RS00450",317,342,564,189,233,150,855,635,625,748,645,792,368,320,406,539,367,495
"C2R79_RS00455",1366,1235,2272,2260,3086,2167,3559,2117,2588,3948,4107,4786,2220,2077,2459,4456,2979,3949
"C2R79_RS00460",132,163,262,128,178,120,83,48,77,46,32,39,27,25,42,45,16,28
"C2R79_RS00465",425,292,570,318,461,262,4706,2850,3331,1496,1496,1646,1766,1680,2245,1696,1387,1438
"C2R79_RS00470",677,725,1299,510,732,453,6380,4338,4509,3330,3238,3885,2409,2232,2664,2610,2223,2069
"C2R79_RS00475",67,49,103,156,227,139,376,207,231,95,81,75,167,156,195,119,72,101
"C2R79_RS00480",636,643,1198,1725,2397,1563,4794,3249,3467,2023,1885,2180,3115,3189,3503,3452,3169,3103
"C2R79_RS00485",846,854,1447,1293,1777,1168,2365,1532,1723,986,1096,1016,1044,1042,1260,1175,905,981
"C2R79_RS00490",809,771,1387,1383,2026,1334,9558,5992,6562,3088,2923,3603,3819,3742,4504,3707,3180,3215
"C2R79_RS00495",366,324,612,940,1348,942,3918,2331,3065,1887,2245,2442,1683,1614,1993,2682,2247,2203
"C2R79_RS00500",71,101,138,146,252,151,39,23,32,28,26,18,21,26,39,24,21,18
"C2R79_RS00505",666,684,1168,610,894,663,611,391,454,503,443,468,268,265,346,465,337,337
"C2R79_RS00510",69,81,118,42,57,36,425,254,265,103,117,114,110,96,85,113,54,53
"C2R79_RS00515",56,46,89,23,28,27,103,56,79,36,33,28,17,20,45,17,17,19
"C2R79_RS00520",315,313,546,49,60,39,100,98,109,40,33,40,29,35,41,25,18,27
