"gene_id","Con.1_count","Con.2_count","Con.3_count","WT.12h.1_count","WT.12h.2_count","WT.12h.3_count","WT.24h.1_count","WT.24h.2_count","WT.24h.3_count","KO.12h.1_count","KO.12h.2_count","KO.12h.3_count","KO.24h.1_count","KO.24h.2_count","KO.24h.3_count"
"ENSG00000000003",647,800,664,272,315,255,242,290,382,373,347,341,367,605,533
"ENSG00000000005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000000419",102,116,156,89,79,67,36,61,83,77,103,112,103,104,78
"ENSG00000000457",141,140,141,260,246,224,207,209,297,183,252,188,307,241,268
"ENSG00000000460",138,132,135,223,186,185,377,393,274,235,198,215,351,372,419
"ENSG00000000938",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000000971",3,2,3,1,1,2,4,1,2,0,1,0,0,2,0
"ENSG00000001036",2596,2813,2962,1227,1448,1223,927,955,1291,1567,1693,1498,1398,1603,1396
"ENSG00000001084",865,1030,851,528,594,576,398,394,483,765,790,689,475,576,534
"ENSG00000001167",454,428,404,157,132,104,0,58,85,191,130,0,94,78,20
"ENSG00000001460",169,149,164,117,112,94,141,139,198,131,165,115,221,214,217
"ENSG00000001461",460,571,528,156,221,145,273,310,316,255,313,261,381,373,375
"ENSG00000001497",1354,1267,1470,657,621,595,418,444,506,747,734,671,525,552,523
"ENSG00000001561",822,811,840,500,600,513,939,898,1148,657,728,650,1137,1416,1202
"ENSG00000001617",553,574,656,195,183,149,167,207,209,159,185,155,224,252,174
"ENSG00000001626",0,1,1,0,0,0,0,2,0,1,0,0,0,1,0
"ENSG00000001629",971,768,1014,588,699,388,362,317,580,462,527,537,529,590,424
"ENSG00000001630",6768,6798,6911,4797,5542,4592,2624,2635,3450,5347,6204,4963,3118,3866,3286
"ENSG00000001631",596,608,687,351,407,341,319,302,320,448,428,426,341,355,421
"ENSG00000002016",62,44,71,100,65,61,75,82,192,78,115,100,166,271,137
"ENSG00000002330",645,720,784,274,332,220,203,251,285,275,376,308,310,397,346
"ENSG00000002549",1494,1567,1587,962,972,891,463,543,589,1063,1125,953,573,797,606
"ENSG00000002586",940,1086,1228,353,525,413,272,267,372,428,549,451,381,510,329
"ENSG00000002587",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000002726",0,0,0,0,0,2,2,0,0,0,0,2,1,0,0
"ENSG00000002745",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000002746",0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
"ENSG00000002822",285,257,384,127,111,85,133,97,90,130,189,135,138,138,101
"ENSG00000002834",15723,16288,17300,3141,3415,2986,1876,1776,2195,3568,4143,3399,2305,2630,2228
"ENSG00000002919",1707,1860,2063,1212,1364,1165,977,1061,1307,1451,1726,1580,1391,1634,1364
"ENSG00000002933",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"ENSG00000003056",4803,4761,5146,2743,2903,2553,2710,2775,3564,3245,3637,3008,3566,4084,3653
"ENSG00000003096",20,21,21,1,0,1,7,9,5,2,2,8,16,14,9
