"id","WT-1_fpkm","WT-2_fpkm","WT-3_fpkm","KO-1_fpkm","KO-2_fpkm","KO-3_fpkm","WT-12h-1_fpkm","WT-12h-2_fpkm","WT-12h-3_fpkm","WT-24h-1_fpkm","WT-24h-2_fpkm","WT-24h-3_fpkm","KO-12h-1_fpkm","KO-12h-2_fpkm","KO-12h-3_fpkm","KO-24h-1_fpkm","KO-24h-2_fpkm","KO-24h-3_fpkm","WT-1_count","WT-2_count","WT-3_count","KO-1_count","KO-2_count","KO-3_count","WT-12h-1_count","WT-12h-2_count","WT-12h-3_count","WT-24h-1_count","WT-24h-2_count","WT-24h-3_count","KO-12h-1_count","KO-12h-2_count","KO-12h-3_count","KO-24h-1_count","KO-24h-2_count","KO-24h-3_count","Symbol","Description","KEGG_A_class","KEGG_B_class","Pathway","K_ID","GO Component","GO Function","GO Process"
"C2R79_RS00015",4.17,4.4,4.86,7.65,3.64,2.67,1.34,0,1.79,0.49,0.5,0,1.25,1.34,1.11,1.65,0,1.01,5,5,10,6,4,2,3,0,3,1,1,0,1,1,1,2,0,1,"moaA","radical SAM protein [Helicobacter pylori]","Metabolism;Metabolism;Genetic Information Processing","Global and overview maps;Metabolism of cofactors and vitamins;Folding, sorting and degradation","ko01100//Metabolic pathways;ko00790//Folate biosynthesis;ko04122//Sulfur relay system","K03639;K03639;K03639","-","-","-"
"C2R79_RS00020",4.61,4.45,4.25,7.05,10.47,14.12,18.51,10.58,10.74,5.83,4.85,4.83,12.67,12.93,13.78,4.56,11.85,11.15,12,11,19,12,25,23,90,34,39,26,21,24,22,21,27,12,24,24,"mobA","molybdenum cofactor guanylyltransferase MobA [Helicobacter pylori]","Metabolism;Metabolism","Global and overview maps;Metabolism of cofactors and vitamins","ko01100//Metabolic pathways;ko00790//Folate biosynthesis","K03752;K03752","-","-","-"
"C2R79_RS00025",1.51,2.28,2.01,2.31,2.36,2.76,29.86,24.68,30.53,14.5,9.09,10.65,24.94,30.15,28.43,26.06,33.6,19.34,7,10,16,7,10,8,258,141,197,115,70,94,77,87,99,122,121,74,"flhB","flagellar biosynthesis protein FlhB [Helicobacter pylori]","Cellular Processes","Cell motility","ko02040//Flagellar assembly","K02401","-","-","-"
"C2R79_RS00030",10.08,8.98,9.91,53.04,49.17,48.9,271.89,243.73,299.62,154.73,165.41,149.24,403.74,350.97,343.24,129.05,141.85,143,32,27,54,110,143,97,1610,954,1325,841,873,903,854,694,819,414,350,375,"--","membrane protein [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS00035",12.8,14.07,15.12,26.93,20.56,25.03,153.03,142.71,160.38,100.38,95.57,106.21,203.79,168.92,200.05,122.94,126.68,127.16,72,75,146,99,106,88,1606,990,1257,967,894,1139,764,592,846,699,554,591,"amiB","N-acetylmuramoyl-L-alanine amidase [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS00040",54.74,57.75,54.21,85.38,93.41,89.94,73.84,67.17,53.03,80.32,76.06,69.25,128.44,120.65,122.36,145.36,126.27,165.71,257,257,437,262,402,264,647,389,347,646,594,620,402,353,432,690,461,643,"--","decanoate oxidase/trans-2-decenoyl-[acyl-carrier protein] isomerase FabX [Helicobacter pylori]","Metabolism;Metabolism","Global and overview maps;Energy metabolism","ko01100//Metabolic pathways;ko00910//Nitrogen metabolism","K00459;K00459","-","-","-"
"C2R79_RS00045",69.06,71.64,72.38,140.99,129.08,140.32,105.46,92.95,90.41,70.3,59.1,60.43,138.52,135.21,140.96,133.96,135.33,126.86,359,353,646,479,615,456,1023,596,655,626,511,599,480,438,551,704,547,545,"tyrS","tyrosine--tRNA ligase [Helicobacter pylori]","Genetic Information Processing","Translation","ko00970//Aminoacyl-tRNA biosynthesis","K01866","-","-","-"
"C2R79_RS00050",18.58,16.65,19.84,43.26,45.67,43.95,228.33,217.14,235.7,76.75,83.55,74.97,267.67,263.72,265.32,171.45,187.97,187.98,186,158,341,283,419,275,4265,2681,3288,1316,1391,1431,1786,1645,1997,1735,1463,1555,"relA","RelA/SpoT family protein [Helicobacter pylori]","Metabolism;Metabolism","Global and overview maps;Nucleotide metabolism","ko01100//Metabolic pathways;ko00230//Purine metabolism","K01139;K01139","-","-","-"
"C2R79_RS00055",16.54,31.63,23.48,60.1,59.77,39.68,3.88,5.03,4.45,1.21,6.84,0.54,12.41,13.27,8.25,7.16,7.98,3.75,16,29,39,38,53,24,7,6,6,2,11,1,8,8,6,7,6,3,"rpoZ","RecName: Full=DNA-directed RNA polymerase subunit omega; Short=RNAP omega subunit; AltName: Full=RNA polymerase omega subunit; AltName: Full=Transcriptase subunit omega [Helicobacter pylori 26695] [Helicobacter pylori]","Genetic Information Processing","Transcription","ko03020//RNA polymerase","K03060","-","GO:0003676//nucleic acid binding;GO:0034062//RNA polymerase activity","GO:0034645//cellular macromolecule biosynthetic process"
"C2R79_RS00060",54.68,53.62,62.21,208.2,210.23,243.39,20.51,22.17,22.62,17.47,12.18,12.31,37.64,67.62,53.05,46.77,31.03,39.7,170,158,332,423,599,473,119,85,98,93,63,73,78,131,124,147,75,102,"pyrH","UMP kinase [Helicobacter pylori]","Metabolism;Metabolism","Global and overview maps;Nucleotide metabolism","ko01100//Metabolic pathways;ko00240//Pyrimidine metabolism","K09903;K09903","GO:0044424//intracellular part","GO:0009041//uridylate kinase activity;GO:0032550//purine ribonucleoside binding","GO:0006241//CTP biosynthetic process"
"C2R79_RS00065",32.64,36.95,32.48,16.65,17.44,16.32,34.07,27.29,25.13,15.48,13.29,15.87,34.18,31.1,30.75,19.84,29.3,27.57,96,103,164,32,47,30,187,99,103,78,65,89,67,57,68,59,67,67,"--","menaquinone biosynthesis protein [Helicobacter pylori]","Metabolism;Metabolism","Global and overview maps;Metabolism of cofactors and vitamins","ko01110//Biosynthesis of secondary metabolites;ko00130//Ubiquinone and other terpenoid-quinone biosynthesis","K11782;K11782","-","-","-"
"C2R79_RS00070",2210.47,2225.59,2210.33,3252.38,3277.17,3445.8,395.47,386.6,395.33,446.33,463.09,429.77,563.91,577.26,544.5,811.25,702.81,791.69,24322,23211,41754,23388,33050,23702,8120,5247,6062,8412,8475,9017,4136,3958,4505,9024,6013,7199,"acnB","bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase [Helicobacter pylori]","Metabolism;Metabolism;Metabolism;Metabolism;Metabolism;Metabolism;Metabolism;Metabolism;Metabolism;Metabolism","Global and overview maps;Global and overview maps;Global and overview maps;Global and overview maps;Global and overview maps;Energy metabolism;Carbohydrate metabolism;Carbohydrate metabolism;Carbohydrate metabolism;Global and overview maps","ko01100//Metabolic pathways;ko01110//Biosynthesis of secondary metabolites;ko01120//Microbial metabolism in diverse environments;ko01230//Biosynthesis of amino acids;ko01200//Carbon metabolism;ko00720//Carbon fixation pathways in prokaryotes;ko00020//Citrate cycle (TCA cycle);ko00630//Glyoxylate and dicarboxylate metabolism;ko00640//Propanoate metabolism;ko01210//2-Oxocarboxylic acid metabolism","K01682;K01682;K01682;K01682;K01682;K01682;K01682;K01682;K01682;K01682","-","-","-"
"C2R79_RS00075",265.67,275.7,269.92,698.39,756.48,635.37,43.88,36.72,26.25,47.29,30.37,32.89,47.04,37.74,56.76,48.25,32.49,42.16,305,300,532,524,796,456,94,52,42,93,58,72,36,27,49,56,29,40,"--","Tat pathway signal sequence domain protein [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS00080",26.32,35.57,29.82,122.21,121.17,123.14,40.09,37.86,42.43,19.05,21.03,19,52.2,41.95,48.91,28.71,25.5,30.98,146,187,284,443,616,427,415,259,328,181,194,201,193,145,204,161,110,142,"--","IS701 family transposase [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS00085",226.11,234.97,233.5,216.95,212.38,217.02,254,251.26,256.06,208.93,221.6,214.16,364.2,367.22,344.11,408.14,424.38,399.09,1330,1310,2358,834,1145,798,2788,1823,2099,2105,2168,2402,1428,1346,1522,2427,1941,1940,"--","outer membrane family protein [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS00090",790.21,723.1,751.22,1258.32,1210.58,1134.4,2063.72,2067.97,2110.36,1924.81,2117.28,1996.76,2306.83,2398.38,2338.46,2156.31,2075.59,2072.81,1794,1556,2928,1867,2519,1610,8743,5791,6677,7485,7995,8644,3491,3393,3992,4949,3664,3889,"--","Uncharacterised protein [Helicobacter pylori NCTC 11637 = CCUG 17874 = ATCC 43504] [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS00100",234.25,220.17,227.24,232.11,221.74,194.39,139.45,149.14,165.08,129.66,109.34,109.22,220.66,203.76,177.78,159.59,174.07,170.37,559,498,931,362,485,290,621,439,549,530,434,497,351,303,319,385,323,336,"lolA","outer membrane lipoprotein chaperone LolA [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS00105",173.22,168.77,172.7,219.57,237.14,224.25,171.55,170.41,178.57,165.57,171.58,177.83,217.16,230.57,217.63,302.31,314.99,295.18,1935,1787,3312,1603,2428,1566,3576,2348,2780,3168,3188,3788,1617,1605,1828,3414,2736,2725,"secA","preprotein translocase subunit SecA [Helicobacter pylori]","Environmental Information Processing;Genetic Information Processing;Cellular Processes","Membrane transport;Folding, sorting and degradation;Cellular community - prokaryotes","ko03070//Bacterial secretion system;ko03060//Protein export;ko02024//Quorum sensing","K03070;K03070;K03070","-","-","-"
"C2R79_RS00110",184.47,175.12,177.32,315.45,299.02,305.04,967.63,883.87,915.89,417.47,419.94,432.67,1208.84,1195.64,1157.16,756.02,746.66,839.92,978,880,1614,1093,1453,1011,9573,5780,6767,3791,3703,4374,4272,3950,4613,4052,3078,3680,"--","ABC transporter permease [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS00115",1608.62,1596.38,1621.52,3234.77,3242.87,3213.33,560.42,548.43,572.41,540.04,516.99,536.58,863.41,855.18,802.93,1100.27,1010.57,1082.53,10375,9759,17955,13635,19170,12956,6745,4363,5145,5966,5546,6599,3712,3437,3894,7174,5068,5770,"--","outer membrane beta-barrel protein HofF [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS00125",39.03,33.33,39.87,77.51,67.94,62.44,209.18,185.31,204.79,101.12,101.62,103.4,121.47,108.97,113,89.44,93.86,107.87,215,174,377,279,343,215,2150,1259,1572,954,931,1086,446,374,468,498,402,491,"hsdS","restriction endonuclease subunit S [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS00130",278.39,282.04,272.51,416.29,412.2,390.62,227.85,204.47,212.79,220.63,215.61,212.04,256.98,282.86,290.84,369.8,359.33,383.15,2467,2369,4146,2411,3348,2164,3768,2235,2628,3349,3178,3583,1518,1562,1938,3313,2476,2806,"cadA","cadmium-translocating P-type ATPase [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS00135",108.56,106.96,111.69,220.16,224.22,230.16,264.26,226.73,246.32,102.12,102.96,108.5,319.31,306.23,342.64,241.25,215.72,225.91,710,663,1254,941,1344,941,3225,1829,2245,1144,1120,1353,1392,1248,1685,1595,1097,1221,"comM","YifB family Mg chelatase-like AAA ATPase [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS00140",283.23,268.61,284.53,652.41,661.28,619.34,879.73,884.18,908.69,412.22,449.15,408.87,1001.1,1152.89,1165.13,933.28,1049.12,967.38,643,578,1109,968,1376,879,3727,2476,2875,1603,1696,1770,1515,1631,1989,2142,1852,1815,"def","peptide deformylase [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS00145",419.26,388.5,407.78,766.19,724.12,807.33,519.08,546.73,573.59,269.25,292.26,289.98,698.39,673.45,691.18,590.78,617.53,587.25,1060,931,1770,1266,1678,1276,2449,1705,2021,1166,1229,1398,1177,1061,1314,1510,1214,1227,"clpP","ATP-dependent Clp endopeptidase proteolytic subunit ClpP [Helicobacter pylori]","Cellular Processes","Cell growth and death","ko04112//Cell cycle - Caulobacter","K01358","GO:0044424//intracellular part","GO:0004175//endopeptidase activity","GO:0019538//protein metabolic process"
"C2R79_RS00150",288.31,288.26,290.21,398.11,388.29,403.03,708.91,730.7,769.68,372.79,386.07,381.82,845.23,831.49,828.21,566.65,605.04,637.97,1681,1593,2905,1517,2075,1469,7713,5255,6254,3723,3744,4245,3285,3021,3631,3340,2743,3074,"tig","trigger factor [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS00155",53.91,58.04,62.8,111.82,116.11,109.34,210.25,202.29,234.87,120.37,124.12,123.13,284.71,294.3,280.84,100.87,100.06,118.01,194,198,388,263,383,246,1412,898,1178,742,743,845,683,660,760,367,280,351,"--","outer membrane protein [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS00160",875.93,882.14,849.13,938.05,967.67,915.1,444.88,492.93,414.97,367.97,351.98,355.16,592.64,653.02,586.2,634.63,581.4,548.46,2949,2815,4908,2064,2986,1926,2795,2047,1947,2122,1971,2280,1330,1370,1484,2160,1522,1526,"hpaA","flagellar sheath lipoprotein HpaA [Helicobacter pylori]","-","-","-","-","-","-","-"
